Restaurant ID,Longitude,Latitude
16608209,138.624316,-35.5536609
16654702,-79.3791465,43.1868697
17697444,-92.456343,42.516908
17696871,-92.4507,42.5464
17696891,-92.4599,42.5377
17696901,-92.4322,42.5133
17697384,-92.432177,42.512646
17697417,-92.466597,42.509472
17696918,-92.4453,42.5366
17696920,-92.444,42.5219
17697398,-92.426215,42.51259
17697406,-92.4457417,42.5354081
17696941,-92.4457,42.5375
17696955,-92.4291,42.5127
17696957,-92.445723,42.53489
17697418,-92.323032,42.477281
17697386,-92.339721,42.494908
17697224,-92.356066,42.458979
17697304,-92.3772,42.499705
17697389,-92.335523,42.4984
17697424,-92.335769,42.497919
17697332,-92.3234,42.46558
17694056,-80.529488,40.396043
17559793,-124.175346,43.678998
16668008,-102.4613173,51.2106824
18212135,54.38279729,24.49550307
5704255,54.38294616,24.49569253
5701978,54.38193094,24.48557932
5701729,54.37127855,24.47756501
5704168,54.38080709,24.4543119
18277098,54.37500816,24.47083582
5701446,54.37332205,24.46936983
5700052,54.365694,24.491235
5702418,54.52412188,24.33421694
5700386,54.36377607,24.48525254
5704202,54.36615754,24.48277094
5701052,54.41314146,24.43409939
5704118,54.51003961,24.36312973
5701548,54.37143378,24.48841145
18235425,54.37324997,24.48959102
5702615,54.37422059,24.49089202
5703500,54.4872137,24.4106148
18253896,54.358147,24.488161
5701917,54.35782894,24.48761082
5702574,54.60685361,24.49053138
202321,55.310519,25.095044
